ESNTL_ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ROAD_NM_CD,FCLTY_ROAD_NM_ADDR,LNM_ADDR,ADDR_ENG_NM,ADSTRD_CD,BULD_NM,BULD_MANAGE_CD,TEL_NO,ZIP_NO,HMPG_URL,FCLTY_LA,FCLTY_LO,ORIGIN_NM,ADIT_DC,UPDT_DT,REGIST_DT
KCOCFPO23N000000074,시니어,문화시설,반야전통찻집,52,전북특별자치도,52710,완주군,4571032022,죽림리,527103266092,전북특별자치도 완주군 상관면 춘향로 4328,전북특별자치도 완주군 상관면 죽림리 776-179,"4328 Chunhyang-ro, Sanggwan-myeon, Wanju-gun, Jeonbuk-do",5271032022,,4571032022107760000000000,,55360,-,35.73757513,127.2254448,공공데이터,-,20231231,20231231
KCOCFPO23N000000075,시니어,문화시설,상록한방전통찻집,11,서울특별시,11110,종로구,1111013700,낙원동,111104100310,서울특별시 종로구 종로17길 52 (낙원동),서울특별시 종로구 낙원동 236-1 낙원빌딩,"52 Jong-ro 17-gil, Jongno-gu, Seoul",1111013700,낙원빌딩,1111013700102380000000000,,03140,-,37.57247408,126.988451,공공데이터,-,20231231,20231231
KCOCFPO23N000000076,시니어,문화시설,전통찻집덕수궁,11,서울특별시,11140,중구,1114016600,서소문동,111403005010,서울특별시 중구 서소문로 109 (서소문동),서울특별시 중구 서소문동 53-6,"109 Seosomun-ro, Jung-gu, Seoul",1114016600,,1114016600100530000000000,,04515,-,37.56305072,126.9732523,공공데이터,-,20231231,20231231
KCOCFPO23N000000077,시니어,문화시설,유성전통찻집,,충청남도,,천안시 동남구,4413111200,유량동,,충청남도 천안시 동남구 태조산길 235,,,,,,,,-,36.81978127,127.186044,공공데이터,-,20231231,20231231
KCOCFPO23N000000078,시니어,문화시설,풍경이있는전통찻집,11,서울특별시,11110,종로구,1111012800,관훈동,111104100259,서울특별시 종로구 인사동길 29 (관훈동),서울특별시 종로구 관훈동 197-4,"29 Insadong-gil, Jongno-gu, Seoul",1111012800,,1111012800101970000000000,,03149,-,37.57326673,126.985797,공공데이터,-,20231231,20231231
KCOCFPO23N000000079,시니어,문화시설,사랑방전통찻집,52,전북특별자치도,52180,정읍시,4518010300,상동,521804610245,전북특별자치도 정읍시 동부1길 24-6 (상동),전북특별자치도 정읍시 상동 651-1,"24-6 Dongbu 1-gil, Jeongeup-si, Jeonbuk-do",5218010300,,4518010300106510000000000,,56187,-,35.5621571,126.861371,공공데이터,-,20231231,20231231
KCOCFPO23N000000080,시니어,문화시설,다원전통찻집,11,서울특별시,11545,금천구,1154510100,가산동,115454151195,서울특별시 금천구 디지털로9길 32 (가산동),서울특별시 금천구 가산동 60-5 갑을그레이트밸리,"32 Digital-ro 9-gil, Geumcheon-gu, Seoul",1154510100,갑을그레이트밸리,1154510100100600000000000,,08512,-,37.47948696,126.8877378,공공데이터,-,20231231,20231231
KCOCFPO23N000000081,시니어,문화시설,전통찻집도담,47,경상북도,47850,칠곡군,4785025021,왜관리,478504766491,경상북도 칠곡군 왜관읍 전원3길 15,경상북도 칠곡군 왜관읍 왜관리 777-63,"15 Jeonwon 3-gil, Waegwan-eup, Chilgok-gun, Gyeongsangbuk-do",4785025021,,4785025021107770000000000,,39903,-,35.98304687,128.4002415,공공데이터,-,20231231,20231231
KCOCFPO23N000000082,시니어,문화시설,백년가옥전통찻집,27,대구광역시,27720,군위군,2772035021,읍내리,277204742214,대구광역시 군위군 의흥면 읍내1길 10,대구광역시 군위군 의흥면 읍내리 489,"10 Eumnae 1-gil, Uiheung-myeon, Gunwi-gun, Daegu",2772035021,,4772035032104890000000000,,43149,-,36.17490879,128.7140847,공공데이터,-,20231231,20231231
KCOCFPO23N000000083,시니어,문화시설,감로수전통찻집,29,광주광역시,29170,북구,2917013100,용두동,291704286610,광주광역시 북구 임방울대로1042번길 14-10 (용두동),광주광역시 북구 용두동 311-50,"14-10 Imbangul-daero 1042beon-gil, Buk-gu, Gwangju",2917013100,,2917013100103110000000000,,61073,-,35.21156309,126.870124,공공데이터,-,20231231,20231231
