ESNTL_ID,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ROAD_NM_ADDR,LNM_ADDR,ADIT_DC
KCOCFPO23N000000119,문화시설,갤러리전통찻집,서울특별시,강북구,서울특별시 강북구 화계사길 46 (수유동),서울특별시 강북구 수유동 501,-
KCOCFPO23N000000120,문화시설,시니어카페카리스,서울특별시,동작구,서울특별시 동작구 상도로60길 8 (상도동),서울특별시 동작구 상도동 493-10 상도제일교회,-
KCOCFPO23N000000121,문화시설,전통찻집,서울특별시,영등포구,서울특별시 영등포구 국회대로62길 14 (여의도동),서울특별시 영등포구 여의도동 18-3 한국보이스카우트연맹회관,-
KCOCFPO23N000000122,문화시설,덕수궁전통찻집,서울특별시,영등포구,서울특별시 영등포구 국회대로68길 11 (여의도동),서울특별시 영등포구 여의도동 14-24 삼보호정빌딩,-
KCOCFPO23N000000123,문화시설,다오래전통찻집,서울특별시,용산구,서울특별시 용산구 새창로45길 25 (신계동),서울특별시 용산구 신계동 25-8 유진약국,-
KCOCFPO23N000000124,문화시설,보성전통찻집,서울특별시,종로구,서울특별시 종로구 종로7길 47 (공평동),서울특별시 종로구 공평동 130-1,-
KCOCFPO23N000000125,문화시설,서울에서첫번째로잘하는전통찻집,서울특별시,중구,서울특별시 중구 세종대로 124 (태평로1가),서울특별시 중구 태평로1가 25 한국프레스센터,-
KCOCFPO23N000000142,문화시설,기명전통찻집,서울특별시,강동구,"서울특별시 강동구 올림픽로 664 (천호동, 대우 한강 베네시티)",서울특별시 강동구 천호동 425-5 대우 한강 베네시티,-
KCOCFPO23N000000143,문화시설,백운전통찻집,서울특별시,서초구,서울특별시 서초구 강남대로10길 60-1 (양재동),서울특별시 서초구 양재동 337-15,-
KCOCFPO23N000000144,문화시설,명성전통찻집,서울특별시,송파구,서울특별시 송파구 백제고분로39길 34 (석촌동),서울특별시 송파구 석촌동 181,-
KCOCFPO23N000000145,문화시설,전통찻집,서울특별시,종로구,서울특별시 종로구 삼봉로 81 (수송동),서울특별시 종로구 수송동 58 두산위브파빌리온,-
KCOCFPO23N000000146,문화시설,인사전통찻집,서울특별시,종로구,서울특별시 종로구 인사동길 14 (인사동),서울특별시 종로구 인사동 39,-
KCOCFPO23N000000168,문화시설,다인전통찻집,서울특별시,마포구,서울특별시 마포구 신촌로 182 (대흥동),서울특별시 마포구 대흥동 12-1,-
KCOCFPO23N000000169,문화시설,서울에서첫번째전통찻집,서울특별시,종로구,서울특별시 종로구 새문안로5길 19 (당주동),서울특별시 종로구 당주동 5 로얄빌딩,-
KCOCFPO23N000000170,문화시설,함박전통찻집,서울특별시,서초구,서울특별시 서초구 서초대로40길 77 (서초동),서울특별시 서초구 서초동 1538-1,-
KCOCFPO23N000000180,문화시설,시니어카페이스턴,서울특별시,서대문구,서울특별시 서대문구 모래내로 173 (남가좌동),서울특별시 서대문구 남가좌동 139-4 동방사회복지회관,-
