ESNTL_ID,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ROAD_NM_ADDR,LNM_ADDR
KCOWRPO23N000011497,자연_공원,봉  화,서울특별시,중랑구,서울특별시 중랑구 중랑천로20길 6-14 (중화동),서울특별시 중랑구 중화동 323-14 구립백학경로당
KCOWRPO23N000011498,자연_공원,상  리,서울특별시,중랑구,서울특별시 중랑구 동일로138길 19-18 (중화동),서울특별시 중랑구 중화동 280-16 중화리어린이공원 공중화장실
KCOWRPO23N000011977,자연_공원,금나래중앙,서울특별시,금천구,서울특별시 금천구 시흥대로79길 53 (독산동),서울특별시 금천구 독산동 1151
KCOWRPO23N000011979,자연_공원,은행,서울특별시,금천구,서울특별시 금천구 금하로 689-2 (시흥동),서울특별시 금천구 시흥동 836
KCOWRPO23N000011980,자연_공원,느티나무,서울특별시,금천구,서울특별시 금천구 독산로24가길 14 (시흥동),서울특별시 금천구 시흥동 817-53
KCOWRPO23N000012579,자연_공원,독산,서울특별시,금천구,서울특별시 금천구 벚꽃로10길 45 (독산동),서울특별시 금천구 독산동 1160-2 청소년문화의집
KCOWRPO23N000012791,자연_공원,모랫말,서울특별시,성북구,서울특별시 성북구 종암로34길 16 (하월곡동),서울특별시 성북구 하월곡동 90-206
KCOWRPO23N000013079,자연_공원,신림근린공원,서울특별시,관악구,서울특별시 관악구 남부순환로152길 53 (신림동),서울특별시 관악구 신림동 1707
KCOWRPO23N000013083,자연_공원,백설,서울특별시,관악구,서울특별시 관악구 관악로6길 50 (봉천동),서울특별시 관악구 봉천동 1606-11 백설경로당
KCOWRPO23N000013085,자연_공원,서원,서울특별시,관악구,서울특별시 관악구 서원3길 10 (신림동),서울특별시 관악구 신림동 409-26 서원경로당
KCOWRPO23N000013091,자연_공원,색동,서울특별시,관악구,서울특별시 관악구 신림로70길 74 (신림동),서울특별시 관악구 신림동 1418-1 색동경로당
KCOWRPO23N000013093,자연_공원,남부,서울특별시,관악구,서울특별시 관악구 남부순환로163가길 20 (신림동),서울특별시 관악구 신림동 483-14
KCOWRPO23N000013095,자연_공원,예촌,서울특별시,관악구,서울특별시 관악구 남현길 41 (남현동),서울특별시 관악구 남현동 1083-1 구립 예촌경로당
KCOWRPO23N000013097,자연_공원,상록,서울특별시,관악구,서울특별시 관악구 승방3나길 14 (남현동),서울특별시 관악구 남현동 602-196 관수경로당
KCOWRPO23N000013100,자연_공원,해태,서울특별시,관악구,서울특별시 관악구 서림3길 47 (신림동),서울특별시 관악구 신림동 103-141 서림경로당
KCOWRPO23N000013102,자연_공원,상도근린공원,서울특별시,관악구,서울특별시 관악구 국회단지길 144 (봉천동),서울특별시 관악구 봉천동 산103-52 51녹지관리초
