ESNTL_ID,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ROAD_NM_ADDR,LNM_ADDR
KCOEFPO23N000000536,문화시설_교육_시니어,메가원격평생교육원,서울특별시,노원구,서울특별시 노원구 공릉로 232 (공릉동),서울특별시 노원구 공릉동 172 서울과학기술대학교
KCOEFPO23N000000539,문화시설_교육_시니어,바론에듀평생교육원,서울특별시,중랑구,서울특별시 중랑구 동일로123길 16 (중화동),서울특별시 중랑구 중화동 301-56
KCOEFPO23N000000542,문화시설_교육_시니어,비전스쿨평생교육원,서울특별시,양천구,서울특별시 양천구 남부순환로 397 (신월동),서울특별시 양천구 신월동 136-6
KCOEFPO23N000000545,문화시설_교육_시니어,서울국제평생교육원,서울특별시,서초구,서울특별시 서초구 서초대로 25 (방배동),서울특별시 서초구 방배동 866-3 유일빌딩
KCOEFPO23N000000546,문화시설_교육_시니어,서울원격평생교육원,서울특별시,금천구,서울특별시 금천구 디지털로9길 33 (가산동),서울특별시 금천구 가산동 60-21 IT미래TOWER
KCOEFPO23N000000547,문화시설_교육_시니어,소상공인평생교육원,서울특별시,중구,서울특별시 중구 동호로33길 24 (오장동),서울특별시 중구 오장동 127-1 센트마상가
KCOEFPO23N000000553,문화시설_교육_시니어,에듀스타평생교육원,서울특별시,용산구,서울특별시 용산구 청파로 326 (청파동1가),서울특별시 용산구 청파동1가 154-15 고려빌딩
KCOEFPO23N000000557,문화시설_교육_시니어,양재문화평생교육원,서울특별시,강남구,서울특별시 강남구 남부순환로351길 4 (도곡동),서울특별시 강남구 도곡동 957 도곡동 STAY77
KCOEFPO23N000000558,문화시설_교육_시니어,에이스넷평생교육원,서울특별시,마포구,서울특별시 마포구 월드컵로 159 (망원동),서울특별시 마포구 망원동 474-1
KCOEFPO23N000000560,문화시설_교육_시니어,우리원격평생교육원,서울특별시,영등포구,서울특별시 영등포구 당산로 159 (당산동4가),서울특별시 영등포구 당산동4가 39-5
KCOEFPO23N000000562,문화시설_교육_시니어,으뜸원격평생교육원,서울특별시,은평구,서울특별시 은평구 통일로 876 (불광동),서울특별시 은평구 불광동 484-78
KCOEFPO23N000000567,문화시설_교육_시니어,종로아바평생교육원,서울특별시,종로구,서울특별시 종로구 종로10길 21 (관철동),서울특별시 종로구 관철동 42-4
KCOEFPO23N000000568,문화시설_교육_시니어,주부영어평생교육원,서울특별시,강동구,서울특별시 강동구 양재대로145길 12 (명일동),서울특별시 강동구 명일동 312-54
KCOEFPO23N000000572,문화시설_교육_시니어,키스터디평생교육원,서울특별시,중랑구,"서울특별시 중랑구 망우로 346 (상봉동, 한일써너스빌)",서울특별시 중랑구 상봉동 81-5 한일써너스빌
KCOEFPO23N000000575,문화시설_교육_시니어,한국안전평생교육원,서울특별시,금천구,서울특별시 금천구 벚꽃로 278 (가산동),서울특별시 금천구 가산동 60-19 SJ테크노빌
KCOEFPO23N000000576,문화시설_교육_시니어,한국원격평생교육원,서울특별시,구로구,서울특별시 구로구 디지털로30길 28 (구로동),서울특별시 구로구 구로동 222-12 마리오타워
KCOEFPO23N000000577,문화시설_교육_시니어,한국자격평생교육원,서울특별시,강동구,서울특별시 강동구 풍성로57길 24 (성내동),서울특별시 강동구 성내동 415 리딩타워
