ESNTL_ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ROAD_NM_CD,FCLTY_ROAD_NM_ADDR,LNM_ADDR,ADDR_ENG_NM,ADSTRD_CD,BULD_NM,BULD_MANAGE_CD,TEL_NO,ZIP_NO,HMPG_URL,FCLTY_LA,FCLTY_LO,ORIGIN_NM,ADIT_DC,UPDT_DT,REGIST_DT
KCOEFPO23N000000558,문화시설,문화시설_교육_시니어,에이스넷평생교육원,11,서울특별시,11440,마포구,1144012300,,114403113018,서울특별시 마포구 월드컵로 159 (망원동),서울특별시 마포구 망원동 474-1,"159 World Cup-ro, Mapo-gu, Seoul",1144012300,,1144012300104740001015112,,03962,,37.56179869,126.9046372,문화정보원,-,20231231,20231231
KCOEFPO23N000000559,문화시설,문화시설_교육_시니어,예가원격평생교육원,45,전북특별자치도,45113,전주시 덕진구,4511310700,,521133267019,전북특별자치도 전주시 덕진구 떡전로 14 (금암동),전북특별자치도 전주시 덕진구 금암동 758-7,"14 Tteokjeon-ro, Deokjin-gu, Jeonju-si, Jeonbuk-do",5211310700,,4511310700107580007009830,,54932,,35.83630001,127.1280443,문화정보원,-,20231231,20231231
KCOEFPO23N000000560,문화시설,문화시설_교육_시니어,우리원격평생교육원,11,서울특별시,11560,영등포구,1156011400,,115603118004,서울특별시 영등포구 당산로 159 (당산동4가),서울특별시 영등포구 당산동4가 39-5,"159 Dangsan-ro, Yeongdeungpo-gu, Seoul",1156011400,,1156011400100390006000001,,07219,,37.52880489,126.8975465,문화정보원,-,20231231,20231231
KCOEFPO23N000000561,문화시설,문화시설_교육_시니어,울산중앙평생교육원,31,울산광역시,31140,남구,3114010500,,311403169026,울산광역시 남구 번영로 152 (달동),울산광역시 남구 달동 1341-9,"152 Beonyeong-ro, Nam-gu, Ulsan",3114010500,,3114010500113410009006835,,44703,,35.53890803,129.3278466,문화정보원,-,20231231,20231231
KCOEFPO23N000000562,문화시설,문화시설_교육_시니어,으뜸원격평생교육원,11,서울특별시,11380,은평구,1138010300,,113803000008,서울특별시 은평구 통일로 876 (불광동),서울특별시 은평구 불광동 484-78,"876 Tongil-ro, Eunpyeong-gu, Seoul",1138010300,,1138010300104840078036284,,03344,,37.62117551,126.9202494,문화정보원,-,20231231,20231231
KCOEFPO23N000000563,문화시설,문화시설_교육_시니어,자격증왕평생교육원,41,경기도,41273,안산시 단원구,4127310800,,412733190080,경기도 안산시 단원구 화랑로 103 (원곡동),경기도 안산시 단원구 원곡동 846-3 라성프라자,"103 Hwarang-ro, Danwon-gu, Ansan-si, Gyeonggi-do",4127310800,라성프라자,4127310800108460003045011,,15382,,37.32689922,126.800691,문화정보원,-,20231231,20231231
KCOEFPO23N000000564,문화시설,문화시설_교육_시니어,정관우리평생교육원,26,부산광역시,26710,기장군,2671025627,모전리,267103140040,부산광역시 기장군 정관읍 정관2로 45,부산광역시 기장군 정관읍 모전리 741-5,"45 Jeonggwan 2-ro, Jeonggwan-eup, Gijang-gun, Busan",2671025627,,2671032027107410005000001,,46008,,35.33442854,129.1668597,문화정보원,-,20231231,20231231
KCOEFPO23N000000565,문화시설,문화시설_교육_시니어,제이케이평생교육원,31,울산광역시,31710,울주군,3171025927,구영리,317103173015,울산광역시 울주군 범서읍 구영로 223,울산광역시 울주군 범서읍 구영리 132-5,"223 Guyeong-ro, Beomseo-eup, Ulju-gun, Ulsan",3171025927,,3171025927101320005003515,,44921,,35.56554722,129.249587,문화정보원,-,20231231,20231231
KCOEFPO23N000000566,문화시설,문화시설_교육_시니어,제주국제평생교육원,50,제주특별자치도,50110,제주시,5011012200,,501103349052,제주특별자치도 제주시 도령로 9 (노형동),제주특별자치도 제주시 노형동 1296-6 정각빌딩,"9 Doryeong-ro, Jeju-si, Jeju-do",5011012200,정각빌딩,5011012200112960006064706,,63098,,33.48677699,126.480417,문화정보원,-,20231231,20231231
KCOEFPO23N000000567,문화시설,문화시설_교육_시니어,종로아바평생교육원,11,서울특별시,11110,종로구,1111013500,,111104100305,서울특별시 종로구 종로10길 21 (관철동),서울특별시 종로구 관철동 42-4,"21 Jong-ro 10-gil, Jongno-gu, Seoul",1111013500,,1111013500100420004016944,,03189,,37.56902891,126.9845257,문화정보원,-,20231231,20231231
